aba: 阿爸
jiamu: 家母、价目
jiapu: 家谱
jiaqin: 家禽
jiaren: 家人
jiashen: 家什、加深
jiashi: 家史、家事、架势、驾驶、架式、假使
jiashu: 家书、家属、加数
jiasi: 家私
jiating: 家庭
jiawu: 家务
jiaxiang: 家乡、假想、假象
jiaxiao: 家小
jiachu: 家畜
jiaye: 家业
jiayong: 家用
jiayuan: 家园、加元
jiazei: 家贼
jiazhai: 家宅
jiazheng: 家政
jiazhong: 家中、加重
jiazu: 家族、加足
jiabei: 加倍
jiacheng: 加成
jiacu: 加粗、加醋
jiada: 加大
jiafen: 加分、甲酚
jiagao: 加高
jiagu: 加固
jiahou: 加厚
jiajian: 加减
jiakuai: 加快
jiakuan: 加宽、价款
jiale: 加了
jialiao: 加料
jialun: 加仑
jiama: 加码
jiameng: 加盟
jiami: 加密
jiana: 加纳
jiapeng: 加蓬
jiaqiang: 加强
jiare: 加热
jiaru: 加入、假如
jiashang: 加上
jiashui: 加水
jiasu: 加速
jiatang: 加糖
jiaya: 加压
jiayan: 加盐、钾盐
jiayi: 加以、加意、甲乙
jiaying: 加映
jiayou: 加油
jiazai: 加在、架在、加载
jiazhi: 加之、价值
jianang: 颊囊
jiachong: 甲虫
jiake: 甲壳
jiayu: 甲鱼、驾驭
jiafei: 钾肥
jiaci: 架次
jiakong: 架空
jialiang: 架梁
jiaqi: 架起、佳期、假期
jiaqiao: 架桥
jiashe: 架设、假设
jiaxian: 架线
jiache: 驾车
jiadao: 驾到
jiandi: 歼敌、减低、见地、碱地
jianji: 歼击、简洁、剪辑、奸计
jianmie: 歼灭
jiance: 监测、检测
jiancha: 监察、检查、检察、监查
jiandu: 监督、建都、碱度
jianfan: 监犯、简繁
jiangong: 监工
jianguan: 监管、兼管
jianhu: 监护
jianjin: 监禁、渐进、渐近
jiankao: 监考
jiankong: 监控、检控
jianli: 监理、简历、建立、尖利
jianshi: 监视、坚实、检视、见识、捡拾
jianshou: 监守、坚守、减收、兼收
jianting: 监听、坚挺、舰艇
jianya: 监押、减压
jianyu: 监狱、鉴于、见于、建于
jianzhi: 监制、兼职、简直、剪纸、建制
jianchi: 坚持
jianding: 坚定、检定、鉴定
jiangu: 坚固、兼顾
jianjue: 坚决
jianku: 坚苦、艰苦
jianqiang: 坚强
jianren: 坚韧、兼任
jianxin: 坚信、艰辛
jianyi: 坚毅、检疫、简易、建议
jianying: 坚硬、兼营、剪影
jiandie: 间谍
jianduan: 间断、简短、尖端
jiange: 间隔
jianhuo: 间或
jianjia: 间架、肩胛、减价
jianjie: 间接、简捷、简介、剪接、鉴戒、见解
jianju: 间距、检举、荐举、艰巨
jianmiao: 间苗
jianxi: 间隙、见习、奸细
jianxie: 间歇、简写
jianza: 间杂
jianzuo: 间作
jianao: 煎熬
jianbing: 煎饼、兼并、尖兵
jianbei: 兼备
jiancheng: 兼程、简称、渐成、建成
jianke: 兼课、尖刻
jianrong: 兼容、碱熔
jianyou: 兼有
jianbang: 肩膀
jianbu: 肩部、箭步、健步
jiandian: 肩垫、检点
jianfu: 肩负
jianshang: 肩上、鉴赏、奸商
jiantiao: 肩挑
jiantou: 肩头、箭头
jianzhang: 肩章、简章
jianbo: 检波
jianpiao: 检票、剪票
jiansuo: 检索、减缩
jiantao: 检讨
jianxiu: 检修
jianyan: 检验
jianyue: 检阅、践约
jianzi: 检字、剪子、尖子
jianshui: 碱水、减税
jianxing: 碱性、减刑、建行、饯行
jianbao: 简报、剪报、见报
jianbian: 简便、渐变、简编
jiandan: 简单
jianhua: 简化、碱化
jiankuang: 简况
jianlian: 简练、简炼
jianlou: 简陋
jianlve: 简略
jianma: 简码
jianming: 简明
jianpu: 简朴、简谱、俭朴
jianshu: 简述、减数、见数、建树
jianti: 简体
jianxun: 简讯
jianyao: 简要
jianzhuang: 简装、见状、健壮
jiancai: 剪裁、剪彩、建材
jianchu: 剪除、溅出
jianchuang: 剪床
jiandao: 剪刀、见到、尖刀
jianguo: 剪过、见过、建国
jianqie: 剪切
jianqu: 剪去、减去、渐趋
jiantie: 剪贴
jianban: 减半
jianchan: 减产
jianfa: 减法
jianfei: 减肥
jianhao: 减号、见好
jianhuan: 减缓
jianman: 减慢
jianmian: 减免、见面、键面
jianqing: 减轻、见轻
jianruo: 减弱
jianshao: 减少
jiansu: 减速
jiansun: 减损
jiantui: 减退
jianxiao: 减小、见效、建校
jianyuan: 减员、建院
jianzai: 减灾、健在
jianbie: 鉴别
jiannuo: 践诺
jianta: 践踏
*huo: *货
*min: *民
jianchang: 见长、舰长、建厂
jianfang: 见方、建房
jianguai: 见怪
jianjiao: 见教、建交
jianliang: 见量、见谅
jianle: 见了、建了
jianwai: 见外
jianwen: 见闻、间文
jianzheng: 见证
jianzui: 见罪
jiancao: 键槽
jianpan: 键盘
jianru: 键入、渐入
jianwei: 键位、建委
jianzhu: 箭竹、建筑
jianzu: 箭镞
jiandui: 舰队
jianjian: 渐渐
jianran: 渐染
jiande: 溅得
jianluo: 溅落
jiandang: 建党、建档
jianjun: 建军
jianlan: 建兰
jianqi: 建起
jianshe: 建设
jianzao: 建造、监造
jiangbei: 将被、江北、奖杯
jiangcai: 将才、酱菜
jiangdai: 将带
jiangdui: 将对
jianggai: 将该
jiangguan: 将官
jianghui: 将会
jiangjian: 将建
jiangjin: 将近、奖金
jiangjiu: 将就、讲究
jiangjun: 将军
jianglai: 将来
jiangle: 将了、讲了
jiangling: 将领
jiangpai: 将派、奖牌
jiangqi: 将其、奖旗
jiangshe: 将设
jiangshi: 将使、将士、将是、讲师、讲史、僵尸
jiangshou: 将受、奖售、讲授
jiangshuai: 将帅
jiangta: 将他、将她
jiangwei: 将为、降为
jiangwo: 将我
jiangyao: 将要
jiangyi: 将以、讲义
jiangyou: 将由、将有、酱油
jiangyu: 将于、将与、降雨、疆域
jiangzai: 将在
jiangzhi: 将至、降职、降至
jiangguo: 浆果、讲过
jianghu: 浆糊、江湖
jiangxi: 浆洗、江西、讲习、降息
jiangye: 浆液
jiangan: 江岸
jiangbian: 江边
jiangdong: 江东
jiangdu: 江都
jiangfang: 江防
jiangfeng: 江风
jianghe: 江河、讲和
jianghuai: 江淮
jianglun: 江轮、讲论
jiangmen: 江门
jiangmian: 江面
jiangnan: 江南
jiangshan: 江山
jiangshui: 江水、降水
jiangsu: 江苏
jiangxin: 江心、降薪、匠心
jiangzhong: 江中
jiangcheng: 奖惩
jiangfa: 奖罚、讲法
jianggei: 奖给
jiangli: 奖励、讲理
jiangpin: 奖品
jiangquan: 奖券
jiangshang: 奖赏
jiangxiang: 奖项
jiangzhang: 奖章
jiangzhuang: 奖状
jiangchu: 讲出
jiangdao: 讲到、降到
jiangde: 讲得
jianggao: 讲稿
jianghua: 讲话、僵化
jiangjia: 讲价、降价
jiangjie: 讲解、降解、疆界
jiangke: 讲课
jiangming: 讲明
jiangping: 讲评
jiangqing: 讲清、讲情
jiangqiu: 讲求
jiangshu: 讲述
jiangtai: 讲台
jiangtan: 讲坛
jiangwan: 讲完
jiangxue: 讲学、降雪
jiangyan: 讲演
jiangzhao: 讲着
jiangzuo: 讲座
jianggang: 酱缸
jianggua: 酱瓜
jiangse: 酱色
jiangya: 酱鸭、降压
jiangdi: 降低
jiangfu: 降幅、降伏、降服
jiangge: 降格
jiangji: 降级
jianglin: 降临
jiangluo: 降落
jiangru: 降入
jiangsheng: 降生、缰绳
jiangshun: 降顺
jiangwen: 降温
jiangxia: 降下
jiangzu: 降组
jiaoshi: 礁石、教师、教士、教室
jiaobu: 胶布、脚步
jiaodai: 胶带、交代
jiaojie: 胶结、铰接、交接、交界、酵解
jiaojuan: 胶卷
jiaomu: 胶木、酵母
jiaonang: 胶囊
jiaopi: 胶皮
jiaopian: 胶片
jiaoshui: 胶水、浇水、交税
jiaowan: 胶丸
jiaoxie: 胶鞋
jiaoyin: 胶印、脚印
jiaozhan: 胶粘、交战
jiaozhu: 胶住、浇铸、浇筑、浇注、脚注、教主、角逐
jiaozhao: 胶着、叫着
jiaodao: 浇捣、教导、叫到、交道
jiaoguan: 浇灌、教官、娇惯
jiaoguo: 浇过、教过
jiaohua: 浇花、狡猾
jiaolian: 铰链、教练
jiaoban: 脚板、交班、交办、胶版、搅拌
jiaobei: 脚背
jiaoben: 脚本、教本
jiaocai: 脚踩、教材
jiaodi: 脚底、较低
jiaogen: 脚跟
jiaojian: 脚尖、矫健
jiaojing: 脚劲
jiaoliao: 脚镣
jiaoling: 脚铃、教龄
jiaolu: 脚炉
jiaopen: 脚盆
jiaoqi: 脚气、娇气、骄气
jiaoshang: 脚上
jiaoxia: 脚下、狡黠
jiaoxin: 脚心、交心
jiaoxian: 脚癣
jiaozhi: 脚趾、交织、浇制、较之
jiaozhua: 脚爪
jiaozhuo: 脚镯、焦灼
jiaopu: 脚蹼
jiaochu: 剿除、交出
jiaofei: 剿匪、交费
jiaomie: 剿灭、浇灭
jiaobian: 教鞭、窖变、狡辩
jiaocheng: 教程
jiaofa: 教法
jiaofu: 教父、交付
jiaogui: 教规、娇贵
jiaohuang: 教皇
jiaohui: 教会、教诲
jiaoju: 教具、焦距
jiaomin: 教民
jiaopai: 教派
jiaoren: 教人、叫人
jiaoshou: 教授、交手、交售
jiaoshu: 教书
jiaosuo: 教唆
jiaotang: 教堂
jiaotiao: 教条
jiaotou: 教头
jiaotu: 教徒
jiaowei: 教委、较为
jiaowu: 教务
jiaoxi: 教习
jiaoxue: 教学
jiaoxun: 教训
jiaoyan: 教研
jiaoyang: 教养、骄阳
jiaoyi: 教义、教益、交椅、交易、交谊、较易
jiaoyu: 教育
jiaoyuan: 教员、较远
jiaobi: 叫比、较比
jiaochun: 叫春
jiaode: 叫得
jiaoge: 叫个
jiaohan: 叫喊
jiaohao: 叫好、叫号、较好
jiaohuan: 叫唤、交还、交换
jiaojia: 叫价、交加
jiaojue: 叫绝
jiaoku: 叫苦
jiaolai: 叫来、狡赖
jiaole: 叫了
jiaomai: 叫卖
jiaoni: 叫你
jiaoqu: 叫屈、叫去、郊区
jiaorang: 叫嚷
jiaosheng: 叫声
jiaota: 叫他、叫她、脚踏
jiaowo: 叫我
jiaoxiao: 叫嚣、较小
jiaozuo: 叫做、叫座
jiaozi: 窖子、饺子
jiebang: 揭榜
jiechuan: 揭穿
jiedi: 揭底、接地
jiefa: 揭发
jiehuan: 揭换
jiekai: 揭开、解开
jielu: 揭露
jiemi: 揭秘、解密
jiemu: 揭幕、节目
jiepai: 揭牌、节拍
jiepo: 揭破
jiequ: 揭去、街区、截取、截去、劫去
jieshi: 揭示、皆是、街市、阶石、节食、界石、届时、结石、结识、结实、解释
jiexia: 揭下、截下、节下
jiexiao: 揭晓
jieke: 皆可、捷克、解渴
jietong: 皆同、接通
jieyou: 皆有、节油
jiezhi: 皆知、截肢、截止、截至、节支、节制、戒指、解职、介质、借支
jiezhun: 皆准
jiedao: 街道、接到
jiefang: 街坊、解放、借方
jielei: 街垒
jiemian: 街面、截面、界面、介面
jieshang: 街上
jietou: 街头、接头
jiexin: 街心、戒心
jieceng: 阶层
jiecheng: 阶乘、结成、竭诚
jieduan: 阶段、截断
jieji: 阶级、截击、劫机、戒忌、接济
jieti: 阶梯、接替、解体
jieyan: 阶沿、戒烟、戒严
jiegao: 截稿
jiehuo: 截获、接活
jiekou: 截口、藉口、接口、借口
jieliu: 截留、截流、节流
jieran: 截然、己二胺
jiezhu: 截住、借助
jiezi: 截子、桔子
jieche: 劫车
jiechi: 劫持、戒尺、界尺
jiede: 劫得
jieduo: 劫夺
jiefei: 劫匪
jienan: 劫难、解难
jieshu: 劫数、结束、借书
jieyu: 劫狱、节余、节育、结余、介于
jieai: 节哀
jiecao: 节操
jiedian: 节点、节电
jiefu: 节妇、姐夫
jiehou: 节后
jiejian: 节俭、节减、接见、借鉴
jieli: 节礼、接力、竭力
jielie: 节烈
jieling: 节令
jielv: 节律、戒律
jielve: 节略
jiemei: 节煤、姐妹
jieneng: 节能
jieqi: 节气、届期
jieqian: 节前
jieri: 节日
jiesheng: 节省、接生
jieshui: 节水
jiexuan: 节选
jieyue: 节约、借阅
jiezou: 节奏
jiebing: 桔饼、结冰
jiegeng: 桔梗
jiepi: 桔皮、揭批
jiechu: 杰出、戒除、接触、解除
jiezuo: 杰作
jiebao: 捷报
jieda: 捷达、解答
jiejing: 捷径、结晶
jiemao: 睫毛
jiebei: 戒备、界碑
jieju: 戒惧、拮据、结局
jieyi: 藉以、介意、借以
jiecai: 芥菜、结彩
jiemo: 芥末
jieding: 界定
jiehe: 界河、接合、结合、结核
jiexian: 界限、界线、接线
jiezhuang: 界桩
jiechuang: 疥疮
jieman: 届满
jinguo: 巾帼
jindou: 筋斗、斤斗
jingu: 筋骨、禁锢
jinliang: 斤两、尽量
jinbang: 金榜
jinbei: 金杯
jinbi: 金笔、金币、紧逼、紧闭、禁闭
jinbian: 金边、浸遍
jinbiao: 金表、锦标
jinbo: 金箔
jinchang: 金昌
jinding: 金锭、紧盯
jine: 金额
jinfen: 金粉
jingang: 金刚
jinguang: 金光
jingui: 金贵
jinhua: 金华、进化
jinhuang: 金黄
jinhun: 金婚
jinjiang: 金奖、金匠、津江
jinqia: 金卡
jinku: 金库
jinkuai: 金块、尽快
jinkuang: 金矿、近况
jinlan: 金兰
jinmen: 金门、进门
jinpai: 金牌
jinqi: 金器、锦旗、近期、尽其、今起
jinqian: 金钱、近前
jinqiu: 金秋、今秋
jinrong: 金融
jinse: 金色
jinshan: 金山、进山
jinshi: 金饰、近视、尽是、今是、进食
jinshu: 金属、禁书、尽数
jinsi: 金丝、近似
jinsong: 金松
jintiao: 金条
jinwen: 金文
jinwu: 金乌
jinxiang: 金像
jinxing: 金星、尽兴、进行
jinyin: 金银
jinyu: 金鱼、金玉
jinzhen: 金针
jinzhi: 金质、禁止、尽职
jinzhuan: 金砖
jinzi: 金子、金字、浸渍
jinzhuo: 金镯
jinjin: 津津、紧紧、仅仅
jintie: 津贴、紧贴
jinyao: 津要、紧要
jinye: 津液
jinhuai: 襟怀
jincou: 紧凑
jingen: 紧跟
jinji: 紧急、晋级、禁忌
jinkao: 紧靠、仅靠
jinle: 紧了、尽了
jinlin: 紧邻、近邻
jinmi: 紧密
jinpo: 紧迫
jinqiao: 紧俏
jinque: 紧缺
jinshen: 紧身、谨慎
jinsuo: 紧缩
jinwo: 紧握
jinzhang: 紧张
jinzhao: 紧着、今朝
jinduan: 锦缎
jinkui: 锦葵
jinpao: 锦袍、浸泡
jinxi: 锦西、今昔
jinxiu: 锦绣、锦秀、进修
jinyi: 锦衣
jinzhou: 锦州
jinfang: 谨防
jinyan: 谨严、禁烟、进言
jinjian: 晋见
jinju: 晋剧
jinsheng: 晋升
jinzhong: 晋中、浸种
jinban: 禁办
jindi: 禁地
jindu: 禁毒、进度
jinjue: 禁绝
jinli: 禁例、尽力
jinling: 禁令
jinqu: 禁区、进取、进去
jinyong: 禁用
jinyun: 禁运、缙云
jinchu: 近处、浸出、进出
jindai: 近代
jindong: 近东、今冬
jinhai: 近海
jinhu: 近乎
jinjiao: 近郊
jinjing: 近景、进京
jinlai: 近来、进来
jinlu: 近路
jinnian: 近年、今年
jinpang: 近旁
jinqin: 近亲
jinri: 近日、今日
jinjiu: 浸酒
jinmei: 浸没
jinran: 浸染、尽然
jinrun: 浸润
jintou: 浸透、尽头
jinzai: 浸在
jinguan: 尽管、仅管
jinqing: 尽情
jinsu: 尽速
jinxin: 尽心
jinzao: 尽早
jinze: 尽责
jingji: 荆棘、静寂、经纪、经济、竞技
jingtiao: 荆条
jingliang: 晶亮、精良
jingti: 晶体、警惕
jingying: 晶莹、经营、精英
jingbao: 警报
jingbei: 警备
jingcha: 警察、惊诧
jingche: 警车
jingdi: 警笛、境地、劲敌
jingfang: 警方、精纺
jingfu: 警服
jinggao: 警告、敬告
jingguan: 警官、景观、静观
jinggun: 警棍
jinghui: 警徽
jingjie: 警戒、境界
jingju: 警句、京剧
jingjue: 警觉
jingli: 警力、敬礼、净利、经理、经历、晶粒、精力
jingquan: 警犬
jingshi: 警示、警世、净是、竟是
jingwei: 警卫、敬畏、经纬、经委、竟未
jingyuan: 警员
jingzhong: 警钟、敬重、净重
jingdian: 景点、静电、经典
jingkuang: 景况、境况、镜框、精矿
jingmu: 景慕、静穆、敬慕
jingpo: 景颇
jingqi: 景气、惊奇
jingse: 景色、静色
jingshen: 景深、精神
jingwu: 景物、静物
jingxiang: 景象、镜箱、镜像、颈项、径向、竞相
jingyang: 景仰、静养、敬仰
jingyu: 景遇、境遇、净余、鲸鱼
jingzhi: 景致、静止、敬致、径直、精制、精致、净值、竟址
jinghou: 静候、敬候
jingjing: 静静
jingmai: 静脉
jingmo: 静默
jingsi: 静思
jingtai: 静态、镜台、井台
jingting: 静听
jingwo: 静卧
jingxin: 静心、经心、惊心、精心
jingye: 静夜、敬业、精液
jingzuo: 静坐
jingmi: 静谧、精密
jingnei: 境内
jingwai: 境外
jingai: 敬爱
jinghe: 敬贺
jinglao: 敬老
jingpei: 敬佩
jingqing: 敬请
jingxian: 敬献、经线、惊险
jingyi: 敬意、惊疑、惊异
jingpian: 镜片
jingtong: 镜筒、精通
jingtou: 镜头、劲头、竞投
jingzi: 镜子、径自、精子
jingluan: 痉挛
jingcai: 净菜、精采、精彩
jinghua: 净化、京华、精华
jingkong: 净空、惊恐
jingshou: 净手、经手、经受
jingshui: 净水
jingsu: 净素
jingtu: 净土
jiongcu: 窘促
jiongde: 窘得
jiongjing: 窘境
jiongkuang: 窘况
jiongpo: 窘迫
jiongtai: 窘态
jiuchu: 揪出、救出
jiuxin: 揪心
jiugen: 究根
jiujing: 究竟、酒精、久经
jiuwen: 究问、旧闻
jiucai: 韭菜、酒菜
jiuya: 韭芽
jiuba: 酒吧、酒巴
jiubao: 酒保
jiubei: 酒杯
jiubiao: 酒标、旧表
jiuchang: 酒厂
jiudian: 酒店
jiufang: 酒坊、旧房
jiuguan: 酒馆
jiugui: 酒鬼
jiuhou: 酒后
jiuhu: 酒壶、救护
jiuhua: 酒花、旧话
jiuhui: 酒会、就会
jiujia: 酒家、救驾
jiuli: 酒力、旧历
jiuliang: 酒量
jiulou: 酒楼
jiuniang: 酒酿
jiuqi: 酒气、救起
jiuqu: 酒曲、旧区
jiuse: 酒色
jiutu: 酒徒
jiuwo: 酒窝
jiuxi: 酒席、旧习
jiuxian: 酒仙、救险
jiuxiang: 酒香
jiuxing: 酒兴、救星
jiuyao: 酒药、就要
jiuyi: 酒意、舅姨、就医
jiuzao: 酒糟
jiuzhong: 酒盅
jiuye: 酒靥、旧业、舅爷、就业
jiubing: 救兵
jiuguo: 救国、救过
jiuhuo: 救活、救火、旧货
jiuji: 救急、救济、纠集、鸠集
jiuming: 救命
jiuren: 救人、就任
jiusheng: 救生
jiuwang: 救亡
jiuying: 救应
jiuyuan: 救援、久远
jiuzai: 救灾、就在
jiuzhi: 救治、旧址、旧制、就职
jiuzhu: 救助
jiuan: 旧案
jiubi: 旧币
jiuche: 旧车
jiucheng: 旧称、九成
jiuchuan: 旧船
jiuhao: 旧好
jiuju: 旧居
jiumao: 旧貌
jiumeng: 旧梦
jiunian: 旧年
jiuqing: 旧情
jiushang: 旧伤
jiushi: 旧事、九十、旧式、就事、就势、就是
jiushu: 旧书、舅叔
jiusu: 旧俗
jiuzhang: 旧帐
jiuchi: 臼齿
jiufu: 舅父
jiujiu: 舅舅
jiuma: 舅妈
jiumu: 舅母
jiuzi: 舅子
jugong: 鞠躬、居功
jubu: 拘捕、局部、拒捕、拒不
juchuan: 拘传、据传
jujin: 拘谨、拘禁、距今
juli: 拘礼、距离、举例
juliu: 拘留、居留、巨流
juni: 拘泥
juren: 拘人、巨人、举人
jushu: 拘束
juya: 拘押
juduo: 居多
jujia: 居家
jumin: 居民
juqi: 居奇、聚齐、举起
juran: 居然、遽然
jushi: 居室、局势、巨石、举世
jusuo: 居所
juwei: 居委
juxin: 居心
juyu: 居于
juzhong: 居中、聚众、剧中、剧种、举重、剧终
juzhu: 居住、巨著
juhua: 菊花
juzhan: 菊展
juchang: 局长、剧场
jucu: 局促
judian: 局点、据点
juji: 局级、聚积、聚集
jumian: 局面
juwai: 局外
juxian: 局限
juzi: 局子、巨资、锯子、橘子、句子
jujiao: 咀嚼、聚焦
jusang: 沮丧
jubian: 聚变、巨变、剧变
jucan: 聚餐
judu: 聚赌、剧毒
juhe: 聚合
juhui: 聚会、拒贿
jujian: 聚歼、剧减
juju: 聚居
julian: 聚敛
julong: 聚拢
jushou: 聚首、拒收、据守、举手
juzai: 聚在
jufu: 拒付、巨幅
jujue: 拒绝
jucha: 据查
jucheng: 据称
juci: 据此
jushuo: 据说
juwen: 据闻
juxi: 据悉
juda: 巨大
jue: 巨额
jujiang: 巨匠
jukuan: 巨款
julang: 巨浪
julun: 巨轮
jupian: 巨片
jutou: 巨头
juxing: 巨星、巨型、举行、矩形
juyan: 巨眼
jubo: 巨擘
jubei: 具备、举杯
juding: 具定
juming: 具名
juti: 具体
juyou: 具有、据有
juzhen: 距阵、矩阵
juchi: 锯齿
juchuang: 锯床
jumo: 锯末
jutiao: 锯条
juben: 剧本
julie: 剧烈
jumu: 剧目、举目
jutuan: 剧团
juwu: 剧务
juyuan: 剧院
juzeng: 剧增
juzhao: 剧照
juzu: 剧组
juanchu: 捐出
juangei: 捐给
juanjian: 捐建
juankuan: 捐款
juanqu: 捐躯、卷曲
juanwu: 捐物
juanxian: 捐献
juanyi: 捐衣、倦意
juanzeng: 捐赠
juanzhu: 捐助
juanzi: 捐资、卷子
juanlian: 眷恋
juannian: 眷念
juanshu: 眷属
juancai: 卷材
juanchi: 卷尺
juanjin: 卷进
juanmian: 卷面
juanqi: 卷起
juanru: 卷入
juanxu: 卷须
juanyan: 卷烟
juanzhi: 卷纸、卷帙
juanzhou: 卷轴
juanzong: 卷宗
juequ: 攫取
jueze: 抉择
juezhai: 抉摘
juechu: 掘出、决出
juejin: 掘进
juetu: 掘土
jueshi: 爵士、绝食
juebie: 决别、诀别
juebu: 决不、绝不
juece: 决策
jueding: 决定、绝顶
juedou: 决斗
jueduan: 决断
jueji: 决计、绝迹、绝技
juejue: 决绝
juekou: 决口
juelie: 决裂
jueran: 决然
juesai: 决赛
juesheng: 决胜
juesi: 决死
juesuan: 决算
juexin: 决心
jueyi: 决意、决议
juezhan: 决战
jueqiao: 诀窍
jueyao: 诀要
junbu: 均不、军部
jundeng: 均等
junfei: 均非、军费、菌肥
junfen: 均分
jungao: 均告
junheng: 均衡
junke: 均可
junneng: 均能
junshi: 均势、军师、军事
juntan: 均摊
junwei: 均为、均未、军威、军委
junwu: 均无、军务
junxu: 均需、军需
junyi: 均已、军医、军衣
junying: 均应、军营
junyou: 均由、均有、军邮
junyun: 均匀
junzhan: 均沾
junsi: 菌丝
junzhong: 菌种、军中、军种
junbei: 军备
junchang: 军长
junche: 军车
jundi: 军地
jundui: 军队
junfa: 军阀、军法
junfang: 军方
junfu: 军服
jungang: 军港
junge: 军歌
jungong: 军工、竣工
junguan: 军官、军管
junhao: 军号
junhui: 军徽
junhun: 军婚
junhuo: 军火
junji: 军机、军籍、军纪
junjian: 军舰
junjie: 军阶、军界、俊杰
junjing: 军警
junken: 军垦
junli: 军礼、军力
junliang: 军粮
junlie: 军列
junling: 军龄、军令、峻岭
junlv: 军旅
junma: 军马、骏马
junmao: 军帽
junmin: 军民
junnei: 军内
junpin: 军品
junqi: 军棋、军旗
junqing: 军情
junqu: 军区
junquan: 军权、君权
junren: 军人
junrong: 军容
junsao: 军嫂
junshu: 军属
juntuan: 军团
junxian: 军衔
junxiao: 军校
junxie: 军械
junxin: 军心
junxun: 军训
junyong: 军用
junyuan: 军援
junzheng: 军政
junzhuang: 军装
junxiang: 军饷
junlin: 君临
junzhu: 君主、菌株
junzi: 君子
junba: 峻拔
junqiao: 峻峭、俊俏
kafei: 咖啡
kali: 咖哩
qiache: 卡车
qiachi: 卡尺
qiadai: 卡带
qiagui: 卡规
qiahao: 卡号、恰好
qiahuang: 卡簧
qiake: 卡壳
qiakou: 卡口
qiala: 卡拉
qiapian: 卡片
qiaqian: 卡钳
qiatong: 卡通
qiazhi: 卡纸
qiazhu: 卡住
qiazi: 卡子
gexie: 咯血
kaiba: 开拔
kaiban: 开办
kaiben: 开本
kaipi: 开辟
kaibian: 开编、开遍
kaibiao: 开标
kaibo: 开播
kaicai: 开采
kai*: 开*
kaichang: 开场
kaiche: 开车
kaicheng: 开秤
kaichu: 开初、开出、开除、揩除
kaichuan: 开船
kaichuang: 开创
kaichun: 开春
kaida: 开打
kaidao: 开刀、开导、开到、开道
kaidong: 开动、开冻
kaiduan: 开端
kaien: 开恩
kaifa: 开发
kaifan: 开饭
kaifang: 开方、开放
kaifeng: 开封
kaifu: 开赴
kaigong: 开工
kaiguan: 开关、开馆
kaiguang: 开光
kaiguo: 开锅、开国、开过
kaihang: 开航
kaihe: 开河
kaihu: 开户
kaihua: 开花、开化
kaihuai: 开怀
kaihuang: 开荒
kaihui: 开会
kaihun: 开荤
kaihuo: 开豁、开火
kaiji: 开机
kaijia: 开价、开架、铠甲
kaijian: 开间
kaijiang: 开奖
kaijiao: 开交、开叫
kaijie: 开解、开戒
kaijin: 开禁
kaijing: 开镜
kaiju: 开局、开具、开据
kaijuan: 开卷
kaijue: 开掘
kaike: 开课
kaiken: 开垦
kaikou: 开口
kaikuang: 开矿
kaikuo: 开阔
kailang: 开朗、开郎
kaili: 开犁、开例
kailian: 开镰
kaile: 开了
kailie: 开列、开裂
kailu: 开路、开炉
kailuo: 开罗、开锣
kaiman: 开满
kaimen: 开门
kaiming: 开明
kaimu: 开幕
kaipai: 开拍
kaipan: 开盘
kaipao: 开炮
kaipian: 开篇
kaipiao: 开票
kaiqi: 开启
kaiqiang: 开枪、开腔
kaiqiao: 开窍
kaisai: 开赛
kaishan: 开山、开衫
kaishe: 开设
kaishi: 开始、开释、开市、揩拭
kaishou: 开首、揩手
kaishui: 开水
kaitang: 开膛
kaiting: 开庭
kaitong: 开通
kaitou: 开头
kaituo: 开脱、开拓
kaiwa: 开挖
kaiwai: 开外
kaiwang: 开往
kaiwei: 开胃
kaixiao: 开销
kaixin: 开心
kaixue: 开学
kaiyan: 开颜、开眼、开演
kaiyang: 开洋
kaiye: 开业
kaiyin: 开印
kaiying: 开映
kaiyuan: 开源
kaizhai: 开斋
kaizhan: 开展、开战、开绽
kaizhang: 开张、开仗
kaizheng: 开征
kaizhi: 开支
kaizhao: 开着
kaizui: 开罪
kaibu: 揩布
kaiqu: 揩去
kaiyou: 揩油
kaimo: 楷模
kaishu: 楷书
kaiti: 楷体
kaige: 凯歌
kaixuan: 凯旋
kanchu: 刊出、看出
kandeng: 刊登
kantou: 刊头、砍头、看透
kanwu: 刊物、勘误
kanxing: 刊行
kanyin: 刊印
kanzai: 刊载、看在
kancheng: 堪称、看成
kanyou: 堪忧
kance: 勘测
kancha: 勘查、勘察、看茶
kantan: 勘探
kanzheng: 勘正
kanjian: 坎肩、看见
kanke: 坎坷、看客
kanchai: 砍柴
kandao: 砍刀、看到
kandiao: 砍掉
kanfa: 砍伐、看法
kanfan: 砍翻
kanqu: 砍去、看去
kanshu: 砍树、看书
kanbao: 看报
kanbing: 看病
kanchuan: 看穿
kandai: 看待
kande: 看得
kangu: 看顾
kanguan: 看管
kanguo: 看过
kanhao: 看好、刊号
kanhu: 看护
kanhuo: 看货
kanjia: 看家
kankan: 看看
kanlai: 看来
kanle: 看了
kanmen: 看门
kanni: 看你
kanpo: 看破
kanqi: 看齐
kanqing: 看轻、看清
kanshang: 看上
kanshou: 看守
kansi: 看似
kanta: 看他、看她
kantai: 看台
kanwang: 看望
kanwo: 看我
kanxi: 看戏
kanxiang: 看相
kanya: 看押
kanzhang: 看涨
