fanyaofanyong.com 凡要凡庸
yousunyu.com 有损于
youzhuyu.com 有助于
yuhuoliang.com 渔获量
yushoukuan.com 预收款
yusuannei.com 预算内
yusuanwai.com 预算外
yuanyuefen.com 元月份
yuandiqu.com 原地区
yuanhanshu.com 原函数
yuanxianquan.com 原线圈
yuanyinshi.com 原因是
yuanzeshang.com 原则上
yuanzexing.com 原则性
yuanzishuo.com 原子说
yuanmianji.com 圆面积
yuanjiaoqu.com 远郊区
yuechanliang.com 月产量
yuepingjun.com 月平均
yunsuiqi.com 孕穗期
yunshuliang.com 运输量
yunyongyu.com 运用于
yuncangliang.com 蕴藏量
zainanxing.com 灾难性
zaigentou.com 栽跟头
zailiuzi.com 载流子
zaireji.com 载热剂
zaizhongliang.com 载重量
zaibuneng.com 再不能
zaibushi.com 再不是
zaichuangzao.com 再创造
zaijiejing.com 再结晶
zaizhipin.com 再制品
zaizheci.com 在这次
zanchengpiao.com 赞成票
zerenqu.com 责任区
zerenshu.com 责任书
zengchangdian.com 增长点
zengchanglv.com 增长率
zengjiadao.com 增加到
zhayier.com 扎伊尔
zhaiwuguo.com 债务国
zhanbianyi.com 占便宜
zhanlingqu.com 占领区
zhanyoushi.com 占优势
zhanyouliang.com 占有量
zhanlvexing.com 战略性
zhanbuzhu.com 站不住
zhandezhu.com 站得住
zhanghuiti.com 章回体
zhaodaifei.com 招待费
zhaoshiren.com 肇事人
zheshelv.com 折射率
zhefangmian.com 这方面
zhehuier.com 这会儿
zhejianshi.com 这件事
zhekeyi.com 这可以
zhelibian.com 这里边
zhemexie.com 这么些
zhemeyang.com 这么样
zheshuoming.com 这说明
zheyiduan.com 这一段
zheyiqie.com 这一切
zhenyeshu.com 针叶树
zhenfenshu.com 真分数
zhengfaliang.com 蒸发量
zhengfamin.com 蒸发皿
zhengliuguan.com 整流管
zhengchanghua.com 正常化
zhengchuyu.com 正处于
zhengdianzi.com 正电子
zhengquedi.com 正确地
zhengtouying.com 正投影
zhengxiangui.com 正弦规
zhengyili.com 郑易里
zhengcexing.com 政策性
zhengfujian.com 政府间
zhengzhishang.com 政治上
zhengzhixing.com 政治性
zhipiaobo.com 支票薄
zhiwuti.com 植物体
zhixianyu.com 只限于
zhichuzhen.com 指出稹
zhidaoxia.com 指导下
zhilingxing.com 指令性
zhidonggang.com 制动缸
zhiduhua.com 制度化
zhizaochu.com 制造出
zhongcengci.com 中层次
zhongchangpao.com 中长跑
zhongdidang.com 中低档
zhonggaodang.com 中高档
zhonglianbu.com 中联部
zhongshangceng.com 中上层
zhongshangyou.com 中上游
zhongtangang.com 中碳钢
zhongwaiwen.com 中外文
zhongxiwen.com 中西文
zhongxiaxun.com 中下旬
zhongxiayou.com 中下游
zhongxiaoxing.com 中小型
zhongxinjiao.com 中心角
zhongleibiao.com 种类表
zhongcaifang.com 仲裁方
zhongjiejing.com 重结晶
zhongmalv.com 重码率
zhouqilv.com 周期律
zhouzhuanliang.com 周转量
zhougonglv.com 轴功率
zhuguangti.com 珠光体
zhufangmian.com 诸方面
zhucaipan.com 主裁判
zhudongzhou.com 主动轴
zhugongshou.com 主攻手
zhuguanxing.com 主观性
zhuyaoyou.com 主要有
zhufangnan.com 住房难
zhujici.com 助记词
zhuyidao.com 注意到
zhucunqi.com 贮存器
zhuzhuangjing.com 柱状晶
zhuamiaotou.com 抓苗头
zhuanmenhua.com 专门化
zhuanmenzu.com 专门组
zhuanchalv.com 转差率
zhuangjiahuo.com 庄稼活
zhuangxiangdan.com 装箱单
zhuangtaixia.com 状态下
zhuijianxi.com 椎间隙
zhunquelv.com 准确率
zhaoyandian.com 着眼点
zijuequan.com 自决权
zonghexing.com 综合性
zongchanliang.com 总产量
zongchengben.com 总成本
zongchengji.com 总成绩
zongchuliang.com 总储量
zongdunwei.com 总吨位
zongfangzhen.com 总方针
zonggonggei.com 总供给
zongguimo.com 总规模
zongjiazhi.com 总价值
zongjiexing.com 总结性
zongjine.com 总金额
zongkaixiao.com 总开销
zongmianji.com 总面积
zongmubiao.com 总目标
zongqushi.com 总趋势
zongrenkou.com 总人口
zongrenshu.com 总人数
zongrenwu.com 总任务
zongshouru.com 总收入
zongtishang.com 总体上
zongtongzhi.com 总统制
zongwuke.com 总务科
zongxieding.com 总协定
zongxuqiu.com 总需求
zongyusuan.com 总预算
zongzhengce.com 总政策
zongzhichu.com 总支出
zongzhongliang.com 总重量
zongduanmian.com 纵断面
zongpoumian.com 纵剖面
zoujiahua.com 邹家华
zoujiduan.com 走极端
zousian.com 走私案
zousifan.com 走私犯
zouguoge.com 奏国歌
zudangceng.com 阻挡层
zuzhian.com 组织胺
zuzhishang.com 组织上
zuibuneng.com 最不能
zuididian.com 最低点
zuochule.com 作出了
zuodouzheng.com 作斗争
ayufengcheng.com 阿谀奉承
aishengtanqi.com 唉声叹气
aimenzhuhu.com 挨门逐户
aichangrujia.com 爱厂如家
aiguojingshen.com 爱国精神
aiguoqiaobao.com 爱国侨胞
aiguoreqing.com 爱国热情
aiguoyundong.com 爱国运动
aiminmofan.com 爱民模范
aizengfenming.com 爱憎分明
andingtuanjie.com 安定团结
anduwannian.com 安度晚年
anmingaoshi.com 安民告示
anpaibudang.com 安排不当
anpaigongzuo.com 安排工作
anpaishengchan.com 安排生产
anpaishenghuo.com 安排生活
anquanbaomi.com 安全保密
anquanbaozheng.com 安全保证
anquanbudui.com 安全部队
anquancaozuo.com 安全操作
anquancuoshi.com 安全措施
anquanjishu.com 安全技术
anquanjiancha.com 安全检查
anquankekao.com 安全可靠
anquanshiyong.com 安全使用
anquanwuhai.com 安全无害
anquanxishu.com 安全系数
anquanyunshu.com 安全运输
anquanzhuangzhi.com 安全装置
anranwuyang.com 安然无恙
anweilengnuan.com 安危冷暖
anxiaxinlai.com 安下心来
anxingongzuo.com 安心工作
anyuxianzhuang.com 安于现状
anzhigongzuo.com 安置工作
anzhuanggongsi.com 安装公司
anzhuangshijian.com 安装时间
anjishuzhi.com 氨基树脂
anjisuliao.com 氨基塑料
antaidanfei.com 铵态氮肥
anbingbudong.com 按兵不动
anlaofenpei.com 按劳分配
anlaoquchou.com 按劳取酬
anyuanjihua.com 按原计划
anxiajuexin.com 暗下决心
anzhongmosuo.com 暗中摸索
anranshise.com 黯然失色
angshoukuobu.com 昂首阔步
angshoutingxiong.com 昂首挺胸
bawuguihua.com 八五规划
bawujihua.com 八五计划
bawuqijian.com 八五期间
bazhongquanhui.com 八中全会
bashansheshui.com 跋山涉水
bawojihui.com 把握机会
bawojiyu.com 把握机遇
baquanzhuyi.com 霸权主义
baifeiliqi.com 白费力气
baifeixinji.com 白费心机
bailandijiu.com 白兰地酒
baiyizhanshi.com 白衣战士
baibandiaonan.com 百般刁难
baibantiaoti.com 百般挑剔
baihuoshangchang.com 百货商场
baijiazhengwu.com 百家争呜
bailianchenggang.com 百炼成钢
baimangzhizhong.com 百忙之中
bainianbuyu.com 百年不遇
baitiaobuyan.com 百挑不厌
baiwenbufan.com 百问不烦
baiwuliaolai.com 百无聊赖
baituokunjing.com 摆脱困境
baizaimianqian.com 摆在面前
baizaishouwei.com 摆在首位
baixiazhenlai.com 败下阵来
banbushishi.com 颁布实施
bannongshifei.com 搬弄是非
banquansuoyou.com 版权所有
bangongdalou.com 办公大楼
bangonghuiyi.com 办公会议
banshijigou.com 办事机构
banshixiaolv.com 办事效率
banxuetiaojian.com 办学条件
bangeshiji.com 半个世纪
bangongbanxu.com 半工半续
banjixiehua.com 半机械化
banjuesaiquan.com 半决赛权
banlaodongli.com 半劳动力
banluchujia.com 半路出家
banxinbanyi.com 半信半疑
banzhimindi.com 半殖民地
banzidonghua.com 半自动化
bangpaitixi.com 帮派体系
baobandaiti.com 包办代替
baochandaohu.com 包产到户
baogandaohu.com 包干到户
baozhuangrongqi.com 包装容器
baozizhiwu.com 孢子植物
baoguicaifu.com 宝贵财富
baoguiyijian.com 宝贵意见
baozhongzhibao.com 宝中之宝
baohedianliu.com 饱和电流
baoherongye.com 饱和溶液
baohezhuangtai.com 饱和状态
baojingcangsang.com 饱经沧桑
baojingfengshuang.com 饱经风霜
baoshizhongri.com 饱食终日
baochijingti.com 保持警惕
baochiqingji.com 保持清洁
baochiwending.com 保持稳定
baochiyizhi.com 保持一致
baochiyuanzhuang.com 保持原状
baocunshili.com 保存实力
baohuzhuyi.com 保护主义
baohuzhuangzhi.com 保护装置
baoliutiaokuan.com 保留条款
baoliuyijian.com 保留意见
baomigongzuo.com 保密工作
baomiguannian.com 保密观念
baomishouze.com 保密守则
baomizhidu.com 保密制度
baoshoujimi.com 保守机密
baoshoushili.com 保守势力
baoshousixiang.com 保守思想
baoweigongzuo.com 保卫工作
baoweiheping.com 保卫和平
baoxianqixian.com 保险期限
baozhangjizhi.com 保障机制
baozhenggonggei.com 保证供给
baozhenggongying.com 保证供应
baozhengxuyao.com 保证需要
baozhengzhiliang.com 保证质量
baozhibaoliang.com 保质保量
baodaoshishi.com 报道失实
baogaowenxue.com 报告文学
baojiashiyi.com 报价适宜
baoxiaozuguo.com 报效祖国
baotoutongku.com 抱头痛哭
baoyouchengjian.com 抱有成见
baoyoupianjian.com 抱有偏见
baofengzouyu.com 暴风骤雨
baolishijian.com 暴力事件
baolixingdong.com 暴力行动
baolumubiao.com 暴露目标
baoluwuyi.com 暴露无遗
baopozuoye.com 爆破作业
baozhashijian.com 爆炸事件
beiguanlundiao.com 悲观论调
beiguanzhuyi.com 悲观主义
beidaxiyang.com 北大西洋
beijingdiqu.com 北京地区
beijingfenxing.com 北京分行
beiyangjunfa.com 北洋军阀
beierbuyong.com 备而不用
beidaoerchi.com 背道而驰
beixinqiyi.com 背信弃义
beishouguwu.com 倍受鼓舞
beishouhuanying.com 倍受欢迎
beishouzunjing.com 倍受尊敬
beibaoxianren.com 被保险人
beidongjumian.com 被动局面
beilingdaozhe.com 被领导者
beixuanjuquan.com 被选举权
beizhanlingtu.com 被占领土
beizizhiwu.com 被子植物
benzouhuhao.com 奔走呼号
benbaojizhe.com 本报记者
benshijichu.com 本世纪初
benshijimo.com 本世纪末
benshijinei.com 本世纪内
bentaixiaoxi.com 本台消息
benzhigongzuo.com 本职工作
bijiaoeryan.com 比较而言
bijiaofada.com 比较发达
bijiaofanrong.com 比较繁荣
bijiaofengfu.com 比较丰富
bijiaofuza.com 比较复杂
bijiaoguanxin.com 比较关心
bijiaojiandan.com 比较简单
bijiaoluohou.com 比较落后
bijiaomanyi.com 比较满意
bijiaoqingchu.com 比较清楚
bijiaoshunli.com 比较顺利
bijiaotuchu.com 比较突出
bijiaowanshan.com 比较完善
bijiaowending.com 比较稳定
bijiaoxianjin.com 比较先进
bijiaoyanzhong.com 比较严重
bijiaozhichi.com 比较支持
biliguanxi.com 比例关系
bilizhongxiang.com 比例中项
bishangbuzu.com 比上不足
bixiayouyu.com 比下有余
bijibenxing.com 笔记本型
bibukemian.com 必不可免
bijingjieduan.com 必经阶段
bijingzhidi.com 必经之地
biranguilv.com 必然规律
biranjieguo.com 必然结果
biranqushi.com 必然趋势
bixujiaqiang.com 必须加强
bixujianchi.com 必须坚持
biyaocuoshi.com 必要措施
biyaotiaojian.com 必要条件
biyouzhilu.com 必由之路
biyefenpei.com 毕业分配
biyewenping.com 毕业文凭
biguansuoguo.com 闭关锁国
biguanzishou.com 闭关自守
biduolishao.com 弊多利少
bileisenyan.com 壁垒森严
bierbutan.com 避而不谈
bizhongjiuqing.com 避重就轻
bianfangbudui.com 边防部队
bianfangqianxian.com 边防前线
bianfangshaosuo.com 边防哨所
bianfangzhanshi.com 边防战士
bianjiangdiqu.com 边疆地区
bianjietanpan.com 边界谈判
bianjingdiqu.com 边境地区
bianjingmaoyi.com 边境贸易
bianyuankexue.com 边缘科学
bianyuanxueke.com 边缘学科
bianyuandiqu.com 边远地区
bianzhengbiangai.com 边整边改
bianwairenyuan.com 编外人员
bianyurenyuan.com 编余人员
bianzaohuangyan.com 编造谎言
bianyugongzuo.com 便于工作
bianyujiejue.com 便于解决
bianhuaduoduan.com 变化多端
bianhuamoce.com 变化莫测
bianhuawuchang.com 变化无常
bianhuanmoce.com 变幻莫测
bianhuanwuchang.com 变幻无常
biansuyundong.com 变速运动
bianxiangboxue.com 变相剥削
bianxiangzhangjia.com 变相涨价
bianyixishu.com 变异系数
bianbuquanguo.com 遍布全国
biantilinshang.com 遍体鳞伤
bianbiefangxiang.com 辨别方向
bianbiezhenjia.com 辨别真假
bianzhengguanxi.com 辩证关系
bianzhengtongyi.com 辩证统一
bianzhengweiwu.com 辩证唯物
biaozhungongzi.com 标准工资
piaofeitizhuang.com 膘肥体壮
biaodafangshi.com 表达方式
biaoliyizhi.com 表里一致
biaolvzuoyong.com 表率作用
biaomiancuihuo.com 表面淬火
biaomianxianxiang.com 表面现象
biaomianzhangli.com 表面张力
biaomianzhiliang.com 表面质量
biaoshiganxie.com 表示感谢
biaoshimanyi.com 表示满意
biaoshitongyi.com 表示同意
biaoshiweiwen.com 表示慰问
biaoshizhichi.com 表示支持
biaoshizhuhe.com 表示祝贺
biaoxianchuse.com 表现出色
biaoxianxingshi.com 表现形式
biaoyiwenzi.com 表意文字
biaozhangdahui.com 表彰大会
biejutese.com 别具特色
biewuchulu.com 别无出路
biewutafa.com 别无他法
biewuxuanze.com 别无选择
bieyoufengwei.com 别有风味
bieyoutiandi.com 别有天地
bieyouyongxin.com 别有用心
binzhushuangfang.com 宾主双方
binlinjuejing.com 濒临绝境
binlinpochan.com 濒临破产
bingshangyundong.com 冰上运动
bingxuexiaorong.com 冰雪消融
bingqigongye.com 兵器工业
bingqiangmazhuang.com 兵强马壮
bingyizhidu.com 兵役制度
binggongbanshi.com 秉公办事
binggongerduan.com 秉公而断
bingbudengyu.com 并不等于
bingbumaodun.com 并不矛盾
bingfeiruci.com 并非如此
bingfeiyishi.com 并非易事
bingjiaqiqu.com 并驾齐驱
bingjianzhandou.com 并肩战斗
bingjianzuozhan.com 并肩作战
bingwangfadian.com 并网发电
bingxingbubei.com 并行不悖
binglibianhua.com 病理变化
bingliqiepian.com 病理切片
boluanfanzheng.com 拨乱反正
bolanzhuangkuo.com 波澜壮阔
bolangfadian.com 波浪发电
boxuejieji.com 剥削阶级
boxuezhidu.com 剥削制度
bozhongmianji.com 播种面积
boboshengji.com 勃勃生机
borandanu.com 勃然大怒
bowenqiangji.com 博闻强记
boruohuanjie.com 薄弱环节
buchangmaoyi.com 补偿贸易
buchongguiding.com 补充规定
bubaizhiyuan.com 不白之冤
bubaizhidi.com 不败之地
bubaofenpei.com 不包分配
bubijianxian.com 不避艰险
bubianjiage.com 不变价格
buchangyizhi.com 不长一智
buchengbili.com 不成比例
buchengtitong.com 不成体统
buchusuoliao.com 不出所料
bucierbie.com 不辞而别
bucixinku.com 不辞辛苦
budazizhao.com 不打自招
budakeneng.com 不大可能
budangzhichu.com 不当之处
budaozhichu.com 不到之处
buderenxin.com 不得人心
budeyaoling.com 不得要领
budongshengse.com 不动声色
buduanchuxian.com 不断出现
buduanfazhan.com 不断发展
buduanfengfu.com 不断丰富
buduangaijin.com 不断改进
buduangengxin.com 不断更新
buduanjiaqiang.com 不断加强
buduanjinbu.com 不断进步
buduankuoda.com 不断扩大
buduanqianjin.com 不断前进
buduanshenru.com 不断深入
buduantigao.com 不断提高
buduanwanshan.com 不断完善
bufaqiren.com 不乏其人
bufafenzi.com 不法分子
bufaxingwei.com 不法行为
bufangyishi.com 不妨一试
bufenshengfu.com 不分胜负
bufuzeren.com 不负责任
bufucunzai.com 不复存在
buganbujing.com 不干不净
buganjimo.com 不甘寂寞
buganshiruo.com 不甘示弱
bugaoerci.com 不告而辞
buguanbugu.com 不管不顾
buheshiyi.com 不合时宜
buhuaihaoyi.com 不怀好意
buhuanersan.com 不欢而散
buhuangbumang.com 不慌不忙
bujibaochou.com 不计报酬
bujiafenxi.com 不加分析
bujiandangnian.com 不减当年
bujianjingchuan.com 不见经传
bujiangtiaojian.com 不讲条件
bujiaobuzao.com 不骄不躁
bujinjinshi.com 不仅仅是
bujinruci.com 不仅如此
bujinbuman.com 不紧不慢
bujinrenyi.com 不尽人意
bujinxiangtong.com 不尽相同
bujinrenqing.com 不近人情
bujingyishi.com 不经一事
bujueyuer.com 不绝于耳
bukanshexiang.com 不堪设想
bukangbubei.com 不亢不卑
bukebimian.com 不可避免
bukefouren.com 不可否认
bukegaoren.com 不可告人
bukeguliang.com 不可估量
bukehushi.com 不可忽视
bukejiuyao.com 不可救药
bukekaijiao.com 不可开交
bukekangju.com 不可抗拒
bukemomie.com 不可磨灭
bukenizhuan.com 不可逆转
bukepianfei.com 不可偏废
bukeqinfan.com 不可侵犯
bukequeshao.com 不可缺少
bukeshoushi.com 不可收拾
bukeyuyue.com 不可逾越
bukeyujian.com 不可预见
bukezudang.com 不可阻挡
buliyinsu.com 不利因素
buliangfenzi.com 不良分子
buliangfengqi.com 不良风气
bulianghouguo.com 不良后果
buliangqingxiang.com 不良倾向
buliangxianxiang.com 不良现象
buliangyingxiang.com 不良影响
bulelezhi.com 不了了之
bumingbubai.com 不明不白
bumouerhe.com 不谋而合
bumousili.com 不谋私利
bunankanchu.com 不难看出
bunanxiangxiang.com 不难想象
bunengpingjing.com 不能平静
bunengrongren.com 不能容忍
bunengshixian.com 不能实现
bunengtongyi.com 不能同意
bunengziba.com 不能自拔
bupianbuyi.com 不偏不倚
buqieshiji.com 不切实际
buqiushangjin.com 不求上进
buqubunao.com 不屈不挠
burandehua.com 不然的话
buronghushi.com 不容忽视
burongzhiyi.com 不容置疑
buruhuxue.com 不入虎穴
bushangbuxia.com 不上不下
bushaodifang.com 不少地方
bushaoguojia.com 不少国家
bushaowenti.com 不少问题
bushengmeiju.com 不胜枚举
bushishiji.com 不失时机
bushidati.com 不识大体
bushishiwu.com 不识时务
bushizhici.com 不实之词
bushouhuanying.com 不受欢迎
butongrenqing.com 不通人情
butongcengci.com 不同层次
butongchengdu.com 不同程度
butongdiqu.com 不同地区
butongguandian.com 不同观点
butongjianjie.com 不同见解
butongleixing.com 不同类型
butongqingkuang.com 不同情况
butongxingye.com 不同行业
butongxingzhi.com 不同性质
butongxunchang.com 不同寻常
butongyiban.com 不同一般
butongyijian.com 不同意见
butongzhichu.com 不同之处
butongzhuzhang.com 不同主张
buweijianxian.com 不畏艰险
buweiqiangbao.com 不畏强暴
buwudaoli.com 不无道理
buwuguanxi.com 不无关系
buxigongben.com 不惜工本
buxiangshangxia.com 不相上下
buxiangshiying.com 不相适应
buxiangzhizhao.com 不祥之兆
buxingdeshi.com 不幸的是
buxunsiqing.com 不徇私情
buyanziming.com 不言自明
buyizhicai.com 不义之财
buyoufenshuo.com 不由分说
buyukaolv.com 不予考虑
buyuanqianli.com 不远千里
buzaicilie.com 不在此列
buzaihuaxia.com 不在话下
buzaishaoshu.com 不在少数
buzeshouduan.com 不择手段
buzhanbuhe.com 不战不和
buzhengzhifeng.com 不正之风
buzhiquxiang.com 不知去向
buzhiyiti.com 不值一提
buzhiyici.com 不止一次
buzhizhizheng.com 不治之症
buzhizhiju.com 不智之举
buzhikefou.com 不置可否
buzhaobianji.com 不着边际
buziliangli.com 不自量力
buzouguochang.com 不走过场
buzuguachi.com 不足挂齿
buzuweiping.com 不足为凭
buzuweiqi.com 不足为奇
buzuzhichu.com 不足之处
budiaoyizhi.com 步调一致
bulvjiannan.com 步履艰难
bulvweijian.com 步履维艰
buruzhenggui.com 步入正轨
bubanbiaozhun.com 部颁标准
buduijianshe.com 部队建设
bufendiqu.com 部分地区
caihuachuzhong.com 才华出众
caijinqiyong.com 才尽其用
caichanguanxi.com 财产关系
caichanjicheng.com 财产继承
caichansunshi.com 财产损失
caijingjilv.com 财经纪律
cailiwuli.com 财力物力
caimaoxitong.com 财贸系统
caimaozhanxian.com 财贸战线
caiwuhuiji.com 财务会计
caiwujihua.com 财务计划
caiwujilv.com 财务纪律
caiwujiandu.com 财务监督
caiwujiancha.com 财务检查
caiwushouzhi.com 财务收支
caiwuyusuan.com 财务预算
caiwuzhidu.com 财务制度
caiyuanmaosheng.com 财源茂盛
caizhengbutie.com 财政补贴
caizhengbuchang.com 财政部长
caizhengbumen.com 财政部门
caizhengchizi.com 财政赤字
caizhengfudan.com 财政负担
caizhengguanli.com 财政管理
caizhengjilv.com 财政纪律
caizhengjiandu.com 财政监督
caizhengjinrong.com 财政金融
caizhengjingji.com 财政经济
caizhengkaizhi.com 财政开支
caizhengkunnan.com 财政困难
caizhengniandu.com 财政年度
caizhengshouru.com 财政收入
caizhengweiji.com 财政危机
caizhengyusuan.com 财政预算
caizhengzhengce.com 财政政策
caizhengzhichu.com 财政支出
caizhengzhuangkuang.com 财政状况
caizhengzijin.com 财政资金
caiqucuoshi.com 采取措施
caisedianshi.com 彩色电视
caisezhaopian.com 彩色照片
canguanzhidao.com 参观指导
canjiageming.com 参加革命
canjunruwu.com 参军入伍
canzhaoshixing.com 参照实行
canbingbaijiang.com 残兵败将
canfeijunren.com 残废军人
canquebuquan.com 残缺不全
canyufenzi.com 残余分子
canzhayunie.com 残渣余孽
canburendu.com 惨不忍睹
candanjingying.com 惨淡经营
canwurendao.com 惨无人道
canghaihengliu.com 沧海横流
cangsongcuibai.com 苍松翠柏
caolaoguodu.com 操劳过度
caozhiguoji.com 操之过急
caojianrenming.com 草菅人命
cengcengdiedie.com 层层迭迭
cengcengluoshi.com 层层落实
cengchubuqiong.com 层出不穷
cengcifenming.com 层次分明
chawushiju.com 查无实据
chaexuanju.com 差额选举
chayidianer.com 差一点儿
chanpinchengben.com 产品成本
chanpinjianyan.com 产品检验
chanpinpinzhong.com 产品品种
chanpinshuliang.com 产品数量
chanpinxiaoshou.com 产品销售
chanpinzhanxiao.com 产品展销
chanshengyingxiang.com 产生影响
chanyegeming.com 产业革命
chanyejiegou.com 产业结构
chanyezhengce.com 产业政策
changcixiaqu.com 长此下去
changciyiwang.com 长此以往
changjiangliuyu.com 长江流域
changnianleiyue.com 长年累月
changpiandalun.com 长篇大论
changqibaochi.com 长期保持
changqicunzai.com 长期存在
changqidasuan.com 长期打算
changqigongcun.com 长期共存
changqishijian.com 长期实践
changqishiyong.com 长期使用
changqiyilai.com 长期以来
changtubashe.com 长途跋涉
changtudianhua.com 长途电话
changyuandasuan.com 长远打算
changyuanguihua.com 长远规划
changyuanliyi.com 长远利益
changyuanmubiao.com 长远目标
changzujinzhan.com 长足进展
changbeibuxie.com 常备不懈
changguicaijun.com 常规裁军
changguiwuqi.com 常规武器
changguizhanzheng.com 常规战争
changshejigou.com 常设机构
changshengjiangjun.com 常胜将军
changwuhuiyi.com 常务会议
changwulishi.com 常务理事
changwuweiyuan.com 常务委员
changwuzhuxi.com 常务主席
changzhujigou.com 常驻机构
changkuangqiye.com 厂矿企业
changxiaoguagou.com 厂校挂钩
changkaigongying.com 敞开供应
changkaisixiang.com 敞开思想
changdujiaoxi.com 唱独角戏
chaosongdanwei.com 抄送单位
chaochanjiangli.com 超产奖励
chaodaguimo.com 超大规模
chaodaociti.com 超导磁体
chaodaojinshu.com 超导金属
chaoefenpei.com 超额分配
chaoelirun.com 超额利润
chaoewancheng.com 超额完成
chaoguojihua.com 超过计划
chaohuxunchang.com 超乎寻常
chaojidaguo.com 超级大国
chaoqianfazhan.com 超前发展
chaoqianxiangshou.com 超前享受
chaoqianxiaofei.com 超前消费
chaorenyideng.com 超人一等
chaowaichashi.com 超外差式
zhaobubaoxi.com 朝不保夕
chaoxifadian.com 潮汐发电
chaomaichaomai.com 炒买炒卖
cheliangbaoyang.com 车辆保养
chedigaibian.com 彻底改变
chedijiejue.com 彻底解决
chezhichaban.com 撤职查办
chentufeiyang.com 尘土飞扬
chenmoguayan.com 沉默寡言
chensimoxiang.com 沉思默想
chenzhongdaji.com 沉重打击
chenzhongfudan.com 沉重负担
chenzhaoyingzhan.com 沉着应战
chenguilouxi.com 陈规陋习
chenjiuguannian.com 陈旧观念
chengbashijie.com 称霸世界
chengwangchengba.com 称王称霸
chencijihui.com 趁此机会
chenhuodajie.com 趁火打劫
chengmujieshe.com 瞠目结舌
chengbaishangqian.com 成百上千
chengbeizengchang.com 成倍增长
chengbenhesuan.com 成本核算
chengbenshangsheng.com 成本上升
chenggongjingyan.com 成功经验
chengjifeiran.com 成绩斐然
chengjituchu.com 成绩突出
chengjixianzhu.com 成绩显著
chengjizhuozhu.com 成绩卓著
chenglongpeitao.com 成龙配套
chengmingchengjia.com 成名成家
chengnianleiyue.com 成年累月
chengpishengchan.com 成批生产
chengqunjiedui.com 成群结队
chengxiaoxianzhu.com 成效显著
chengzhuzaixiong.com 成竹在胸
chengbaogongcheng.com 承包工程
chengbaojingying.com 承包经营
chengdanyiwu.com 承担义务
chengdanzeren.com 承担责任
chengqianqihou.com 承前启后
chengrencuowu.com 承认错误
chengshangqixia.com 承上启下
chengshounengli.com 承受能力
chengxianqihou.com 承先启后
chengkendairen.com 诚恳待人
chengzhiyouhao.com 诚挚友好
chengshirenkou.com 城市人口
chengshiwuran.com 城市污染
chengxiangchabie.com 城乡差别
chengxiangjumin.com 城乡居民
chengxiangrenmin.com 城乡人民
chengzhenjumin.com 城镇居民
chengzhenrenkou.com 城镇人口
chengshengqianjin.com 乘胜前进
chengxuerru.com 乘虚而入
chengqianbihou.com 惩前毖后
chengyijingbai.com 惩一儆百
chengzhifubai.com 惩治腐败
chengdubutong.com 程度不同
chengkongdianhua.com 程控电话
chengxubianhuan.com 程序变换
chengxujiegou.com 程序结构
chengxukongzhi.com 程序控制
chengxuluoji.com 程序逻辑
chengqingshishi.com 澄清事实
chibaochuannuan.com 吃饱穿暖
chidaguofan.com 吃大锅饭
chijinkutou.com 吃尽苦头
chikunailao.com 吃苦耐劳
chimibuwu.com 痴迷不悟
chiyibujue.com 迟疑不决
chijiuheping.com 持久和平
chixuzengchang.com 持续增长
chiyouyiyi.com 持有异议
chiboshangzhen.com 赤膊上阵
chishoukongquan.com 赤手空拳
chongerbuwen.com 充耳不闻
chongfendiaodong.com 充分调动
chongfenfahui.com 充分发挥
chongfenfanying.com 充分反映
chongfenkaolv.com 充分考虑
chongfenliyong.com 充分利用
chongfenrenshi.com 充分认识
chongfentixian.com 充分体现
chongfenxingshi.com 充分行使
chongfenzhunbei.com 充分准备
chongmanhuoli.com 充满活力
chongmanshengji.com 充满生机
chongmanxiwang.com 充满希望
chongmanxinxin.com 充满信心
chongtudiqu.com 冲突地区
chonggaopinzhi.com 崇高品质
chongshanjunling.com 崇山峻岭
chouxianggainian.com 抽象概念
chouxiangsiwei.com 抽象思维
chouyangdiaocha.com 抽样调查
choujizijin.com 筹集资金
chouchubuqian.com 踌躇不前
choutaibaichu.com 丑态百出
choubukewen.com 臭不可闻
choumingyuanyang.com 臭名远扬
choumingzhaozhu.com 臭名昭著
chouqixuntian.com 臭气熏天
chubanshiye.com 出版事业
chuchangjiage.com 出厂价格
chuerfaner.com 出尔反尔
chuguofangwen.com 出国访问
chukouchanpin.com 出口产品
chukouchuanghui.com 出口创汇
chukoumaoyi.com 出口贸易
chusewancheng.com 出色完成
chushididian.com 出事地点
chushoubufan.com 出手不凡
chutoulumian.com 出头露面
chutuwenwu.com 出土文物
chuxihuiyi.com 出席会议
chuyigongxin.com 出以公心
chuyugongxin.com 出于公心
chuyuwunai.com 出于无奈
chuzineixin.com 出自内心
chudengjiaoyu.com 初等教育
chujichanpin.com 初级产品
chujijieduan.com 初级阶段
chujizhongxue.com 初级中学
chujianchengxiao.com 初见成效
chujuguimo.com 初具规模
chulufengmang.com 初露锋芒
chuzhangaojie.com 初战告捷
chucierwai.com 除此而外
chuciyiwai.com 除此以外
chucizhiwai.com 除此之外
chubeijijin.com 储备基金
chubeiwuzi.com 储备物资
chuxuyinxing.com 储蓄银行
chuliwenti.com 处理问题
